gross,genres,month
281666058,Sci-Fi,11
63143812,Action,7
63143812,Adventure,7
63143812,Family,7
63143812,Fantasy,7
60655503,Action,5
60655503,Adventure,5
60655503,Drama,5
60655503,Thriller,5
76846624,Adventure,5
76846624,Family,5
76846624,Fantasy,5
320706665,Adventure,5
320706665,Animation,5
320706665,Comedy,5
320706665,Family,5
320706665,Fantasy,5
46978995,Action,5
46978995,Adventure,5
46978995,Fantasy,5
89732035,Action,6
89732035,Adventure,6
89732035,Sci-Fi,6
104383624,Adventure,12
104383624,Family,12
104383624,Fantasy,12
198539855,Action,5
198539855,Drama,5
198539855,History,5
198539855,Romance,5
198539855,War,5
318759914,Action,6
318759914,Adventure,6
318759914,Sci-Fi,6
34293771,Action,11
34293771,Adventure,11
34293771,Biography,11
34293771,Drama,11
34293771,History,11
34293771,Romance,11
34293771,War,11
292000866,Adventure,6
292000866,Family,6
292000866,Fantasy,6
292000866,Mystery,6
289994397,Adventure,11
289994397,Family,11
289994397,Fantasy,11
289994397,Mystery,11
227946274,Action,6
227946274,Drama,6
256386216,Drama,12
256386216,Horror,12
256386216,Sci-Fi,12
206456431,Adventure,7
206456431,Comedy,7
206456431,Family,7
206456431,Fantasy,7
206435493,Animation,6
206435493,Comedy,6
206435493,Family,6
206435493,Fantasy,6
205343774,Action,5
205343774,Adventure,5
179982968,Action,10
179982968,Adventure,10
179982968,Animation,10
179982968,Comedy,10
179982968,Family,10
177243721,Adventure,5
177243721,Comedy,5
177243721,Family,5
177243721,Fantasy,5
179883016,Action,4
179883016,Adventure,4
179883016,Fantasy,4
179883016,Sci-Fi,4
179883016,Thriller,4
139259759,Action,10
139259759,Sci-Fi,10
400736600,Adventure,11
400736600,Animation,11
400736600,Comedy,11
400736600,Family,11
400736600,Fantasy,11
400736600,Musical,11
281492479,Action,5
281492479,Sci-Fi,5
206360018,Action,10
206360018,Adventure,10
206360018,Fantasy,10
153629485,Action,5
153629485,Adventure,5
153629485,Sci-Fi,5
153629485,Thriller,5
133375846,Mystery,5
133375846,Thriller,5
181015141,Action,4
181015141,Adventure,4
181015141,Fantasy,4
114053579,Adventure,11
114053579,Animation,11
114053579,Comedy,11
114053579,Drama,11
114053579,Family,11
119420252,Action,7
119420252,Adventure,7
119420252,Animation,7
119420252,Comedy,7
119420252,Family,7
119420252,Fantasy,7
119420252,Sci-Fi,7
83640426,Action,3
83640426,Adventure,3
83640426,Fantasy,3
79711678,Comedy,5
79711678,Fantasy,5
79711678,Horror,5
195000874,Action,7
195000874,Adventure,7
195000874,Thriller,7
61937495,Drama,1
61937495,Fantasy,1
61937495,Horror,1
61937495,Thriller,1
124051759,Action,6
124051759,Action,6
124051759,Adventure,6
124051759,Adventure,6
124051759,Drama,6
124051759,Drama,6
124051759,Romance,6
124051759,Romance,6
126597121,Adventure,10
126597121,Animation,10
126597121,Comedy,10
126597121,Family,10
165230261,Action,5
165230261,Adventure,5
165230261,Animation,5
165230261,Comedy,5
165230261,Family,5
